City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,Le four à pain
6,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
13,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
17,Puerto Ayora,EC,63.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Nchelenge,ZM,68.45,scattered clouds,-9.3451,28.734,KD Travellers Home
22,Surt,LY,76.73,few clouds,31.2089,16.5887,فندق المدينة
25,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
28,Manadhoo,MV,80.35,overcast clouds,5.7667,73.3833,Bon Abri maldives
29,Arraial Do Cabo,BR,66.97,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Weligama,LK,82.99,overcast clouds,5.9667,80.4167,Weligama Bay Resort
32,Rikitea,PF,72.64,clear sky,-23.1203,-134.9692,People ThankYou
35,Atuona,PF,76.48,clear sky,-9.8,-139.0333,Villa Enata
36,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
39,Najran,SA,74.8,clear sky,17.4924,44.1277,محمد هادي ال فطيح
40,Nishihara,JP,87.46,few clouds,26.1842,127.7558,Minshuku Agaihama
41,Victor Harbor,AU,62.67,overcast clouds,-35.5667,138.6167,McCracken Country Club
42,Hualmay,PE,60.28,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
44,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
49,Mecca,SA,85.8,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
50,Komsomolskiy,UZ,70.52,overcast clouds,40.4272,71.7189,Ikathouse
52,Talara,PE,64.15,clear sky,-4.5772,-81.2719,Hostal Oro Negro
53,Campbell River,CA,62.46,few clouds,50.0163,-125.2446,Anchor Inn & Suites
57,Salvador,SV,73.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
59,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
60,Cayenne,GF,75.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
65,Ebebiyin,GQ,65.26,broken clouds,2.1511,11.3353,Vallée-du-Ntem
66,Tokmak,UA,62.44,overcast clouds,47.2514,35.7058,Дом приезжих
70,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
73,Victoria,HK,80.65,light rain,22.2855,114.1577,Mini Central
75,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
79,Codrington,AU,61.84,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
82,Sanchor,IN,85.98,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
83,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
87,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
89,Port Elizabeth,ZA,65.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
90,Chifeng,CN,85.28,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
91,Dongying,CN,86.88,clear sky,37.4564,118.4856,Wanda Realm
92,Tarakan,ID,83.7,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
93,Qurayyat,SA,68.18,clear sky,31.3318,37.3428,Resorts Kandel
94,Itororo,BR,65.89,clear sky,-15.1169,-40.0703,Hotel Indiana
96,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
99,Faanui,PF,78.58,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Katsuura,JP,75.45,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
107,Marawi,PH,80.89,overcast clouds,7.9986,124.2928,Derogongan Residence
108,Gonbad-E Qabus,IR,77.95,few clouds,37.25,55.1672,گلکده گلشن
109,Shingu,JP,77.77,few clouds,33.7333,135.9833,Shingu UI Hotel
111,Carnarvon,AU,78.22,clear sky,-24.8667,113.6333,Hospitality Carnarvon
112,Dingle,PH,81.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
113,Busselton,AU,71.69,clear sky,-33.65,115.3333,Observatory Guest House
115,Ribeira Grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
118,Vanimo,PG,85.06,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
120,Port-Gentil,GA,76.86,few clouds,-0.7193,8.7815,Fengshui Residence
122,Cabo San Lucas,MX,85.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
123,Lompoc,US,61.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
124,Port Alfred,ZA,67.69,light rain,-33.5906,26.891,The Halyards Hotel
125,Asyut,EG,83.12,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
126,Contramaestre,CU,74.73,overcast clouds,20.2978,-76.2414,Hotel Caribeño
128,Macapa,BR,82.38,scattered clouds,0.0389,-51.0664,Atalanta Hotel
131,Takoradi,GH,73.38,clear sky,4.8845,-1.7554,Raybow International Hotel
138,Marang,MY,85.91,light rain,5.2056,103.2059,DBarakah Homestay
141,Hirara,JP,86.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
142,Dano,BF,72.36,light rain,11.15,-3.0667,Auberge Phenix32-Dano
143,Jackson,US,65.35,clear sky,42.4165,-122.8345,Agate Village Apartments
144,Cururupu,BR,75.27,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
