City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,5.75,broken clouds
1,Hobart,AU,-42.8794,147.3294,56.26,58,75,8.05,broken clouds
2,Hermanus,ZA,-34.4187,19.2345,55.8,85,2,4.97,clear sky
3,Airai,TL,-8.9266,125.4092,73.98,64,37,0.94,scattered clouds
4,Thompson,CA,55.7435,-97.8558,41.16,75,0,10.36,clear sky
5,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,63,13.15,light rain
6,Ponta Do Sol,PT,32.6667,-17.1,70.43,82,21,6.22,few clouds
7,Chara,RU,56.9064,118.2631,32.58,73,64,1.99,broken clouds
8,Gayny,RU,60.3071,54.3241,29.89,68,97,9.46,overcast clouds
9,Belyy Yar,RU,53.6039,91.3903,37.29,56,0,4.47,clear sky
10,Mataura,NZ,-46.1927,168.8643,50.49,39,73,3.42,broken clouds
11,Uvat,RU,59.1433,68.8953,30.47,60,14,4.45,few clouds
12,Thyboron,DK,56.6985,8.2124,48.15,93,76,11.56,broken clouds
13,Port Hedland,AU,-20.3167,118.5667,80.65,47,0,13.8,clear sky
14,Cherskiy,RU,68.75,161.3,35.28,37,71,6.35,broken clouds
15,Varhaug,NO,58.6147,5.6457,48.88,73,63,11.61,broken clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,52.09,80,0,6.91,clear sky
17,Puerto Ayora,EC,-0.7393,-90.3518,63.55,98,93,3.0,overcast clouds
18,Talnakh,RU,69.4865,88.3972,31.21,95,100,6.02,overcast clouds
19,Nchelenge,ZM,-9.3451,28.734,68.45,65,28,5.99,scattered clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,75,16.11,broken clouds
21,Ancud,CL,-41.8697,-73.8203,49.44,95,100,4.47,overcast clouds
22,Surt,LY,31.2089,16.5887,76.73,84,12,17.4,few clouds
23,Requena,ES,39.4883,-1.1004,49.78,56,13,8.05,few clouds
24,Ashland,US,40.8167,-82.2665,45.14,94,0,6.17,clear sky
25,Vaini,TO,-21.2,-175.2,77.16,73,20,10.36,few clouds
26,Upernavik,GL,72.7868,-56.1549,17.92,84,48,5.55,scattered clouds
27,Triesenberg,LI,47.1181,9.542,45.34,96,100,0.69,overcast clouds
28,Manadhoo,MV,5.7667,73.3833,80.35,78,94,15.1,overcast clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,66.97,75,100,11.56,overcast clouds
30,Kapaa,US,22.0752,-159.319,84.18,72,0,11.5,clear sky
31,Weligama,LK,5.9667,80.4167,82.99,75,92,14.72,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,72.64,68,1,5.28,clear sky
33,Berdigestyakh,RU,62.0989,126.6992,31.35,61,96,7.47,overcast clouds
34,Albany,US,42.6001,-73.9662,45.52,90,26,4.03,scattered clouds
35,Atuona,PF,-9.8,-139.0333,76.48,66,1,17.25,clear sky
36,Avarua,CK,-21.2078,-159.775,73.45,78,75,6.91,broken clouds
37,Fairlie,GB,55.756,-4.8556,56.41,86,100,8.99,light rain
38,Oktyabrskoye,RU,43.0645,44.7417,51.94,94,0,6.71,clear sky
39,Najran,SA,17.4924,44.1277,74.8,16,8,2.66,clear sky
40,Nishihara,JP,26.1842,127.7558,87.46,73,20,12.66,few clouds
41,Victor Harbor,AU,-35.5667,138.6167,62.67,72,100,9.31,overcast clouds
42,Hualmay,PE,-11.0964,-77.6139,60.28,84,37,9.24,scattered clouds
43,Mezohegyes,HU,46.3167,20.8167,59.07,87,100,10.63,overcast clouds
44,Souillac,MU,-20.5167,57.5167,71.98,73,40,8.05,scattered clouds
45,Bredasdorp,ZA,-34.5322,20.0403,56.59,93,52,3.06,broken clouds
46,Coihaique,CL,-45.5752,-72.0662,41.61,87,0,3.44,clear sky
47,Pleshanovo,RU,52.8333,53.4833,44.85,87,89,9.35,overcast clouds
48,Riviere-Au-Renard,CA,48.9957,-64.3971,39.49,68,5,7.76,clear sky
49,Mecca,SA,21.4267,39.8261,85.8,29,0,1.19,clear sky
50,Komsomolskiy,UZ,40.4272,71.7189,70.52,32,100,4.61,overcast clouds
51,Agadez,NE,19.75,10.25,85.19,24,4,9.89,clear sky
52,Talara,PE,-4.5772,-81.2719,64.15,82,7,17.43,clear sky
53,Campbell River,CA,50.0163,-125.2446,62.46,94,20,4.61,few clouds
54,Suraabad,AZ,40.8192,49.4687,71.83,68,7,19.48,clear sky
55,Ulladulla,AU,-35.35,150.4667,59.9,86,79,13.47,light rain
56,Yarmouth,US,41.7057,-70.2286,57.96,85,0,1.01,clear sky
57,Salvador,SV,13.8333,-88.9167,73.06,96,99,1.9,overcast clouds
58,Ushuaia,AR,-54.8,-68.3,37.89,98,83,4.18,broken clouds
59,Hilo,US,19.7297,-155.09,81.28,87,75,9.22,broken clouds
60,Cayenne,GF,4.9333,-52.3333,75.24,94,40,0.0,scattered clouds
61,Port Hawkesbury,CA,45.6169,-61.3485,52.59,97,0,3.44,clear sky
62,Adrar,MR,20.5022,-10.0711,84.22,28,1,12.41,clear sky
63,Tuatapere,NZ,-46.1333,167.6833,50.92,49,33,8.48,scattered clouds
64,Ingham,US,42.6,-84.3833,44.46,90,0,0.0,clear sky
65,Ebebiyin,GQ,2.1511,11.3353,65.26,100,52,1.83,broken clouds
66,Tokmak,UA,47.2514,35.7058,62.44,93,100,9.86,overcast clouds
67,Nevyansk,RU,57.4953,60.2112,27.68,76,18,8.32,few clouds
68,Necochea,AR,-38.5473,-58.7368,48.04,57,100,10.6,overcast clouds
69,Yellowknife,CA,62.456,-114.3525,43.32,65,75,16.11,broken clouds
70,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,20,14.97,few clouds
71,Dikson,RU,73.5069,80.5464,35.01,79,100,18.84,overcast clouds
72,Chokurdakh,RU,70.6333,147.9167,30.58,57,47,5.01,scattered clouds
73,Victoria,HK,22.2855,114.1577,80.65,95,79,5.01,light rain
74,Ketchikan,US,55.3422,-131.6461,55.87,100,100,11.5,moderate rain
75,East London,ZA,-33.0153,27.9116,63.54,94,0,4.61,clear sky
76,Castro,BR,-24.7911,-50.0119,50.07,97,100,6.96,light rain
77,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.02,69,0,3.44,clear sky
78,Teya,RU,60.3778,92.6267,33.93,71,100,4.68,overcast clouds
79,Codrington,AU,-38.2667,141.9667,61.84,67,76,9.1,broken clouds
80,Hamilton,US,39.1834,-84.5333,53.89,81,0,12.66,clear sky
81,Pevek,RU,69.7008,170.3133,31.24,56,0,4.92,clear sky
82,Sanchor,IN,24.7553,71.7722,85.98,51,7,8.39,clear sky
83,Georgetown,MY,5.4112,100.3354,85.95,79,20,5.75,few clouds
84,Oranjemund,NA,-28.55,16.4333,53.33,94,32,5.59,scattered clouds
85,Bluff,NZ,-46.6,168.3333,49.8,55,36,11.68,scattered clouds
86,Nanortalik,GL,60.1432,-45.2371,39.36,87,53,24.16,broken clouds
87,Vila Velha,BR,-20.3297,-40.2925,71.55,94,100,12.66,overcast clouds
88,Husavik,IS,66.0449,-17.3389,45.57,92,100,9.78,overcast clouds
89,Port Elizabeth,ZA,-33.918,25.5701,65.1,96,100,3.44,overcast clouds
90,Chifeng,CN,42.2683,118.9636,85.28,20,2,22.46,clear sky
91,Dongying,CN,37.4564,118.4856,86.88,32,9,7.38,clear sky
92,Tarakan,ID,3.3,117.6333,83.7,79,40,5.75,light rain
93,Qurayyat,SA,31.3318,37.3428,68.18,60,0,6.91,clear sky
94,Itororo,BR,-15.1169,-40.0703,65.89,94,6,1.95,clear sky
95,Jamestown,US,42.097,-79.2353,46.04,89,0,8.05,clear sky
96,Camacha,PT,33.0833,-16.3333,67.42,73,40,11.5,scattered clouds
97,Severo-Kurilsk,RU,50.6789,156.125,48.72,73,41,23.94,scattered clouds
98,Asau,RO,46.4333,26.4,45.52,80,46,4.07,scattered clouds
99,Faanui,PF,-16.4833,-151.75,78.58,71,3,12.66,clear sky
100,Katsuura,JP,35.1333,140.3,75.45,62,0,13.85,clear sky
101,Leningradskiy,RU,69.3833,178.4167,24.49,77,19,7.87,few clouds
102,Punta Arenas,CL,-53.15,-70.9167,41.11,81,40,9.22,scattered clouds
103,Villazon,BO,-22.0866,-65.5942,36.0,30,0,2.53,clear sky
104,Ust-Maya,RU,60.4167,134.5333,35.2,46,100,7.99,overcast clouds
